ID	Source
ID	>A oboInOwl:source
https://purl.brain-bican.org/ontology/dmbao/DMBA_126651562	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_126651722	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_126651782	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_126652042	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15565	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15566	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15567	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15577	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15582	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15604	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15633	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15652	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15660	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15662	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15665	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15675	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15689	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15690	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15691	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15719	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15723	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15729	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15730	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15731	https://orcid.org/0000-0002-6601-2165
https://purl.brain-bican.org/ontology/dmbao/DMBA_15734	https://orcid.org/0000-0002-6601-2165
